,Overall,Value,Rooms,Location,Cleanliness,Check in / front desk,Service,Business service
0,1,2,3,5,4,1,1,-1
1,1,1,1,3,1,3,3,-1
2,1,1,1,-1,1,-1,1,-1
3,1,1,3,2,3,-1,1,-1
4,1,1,1,3,1,1,1,1
5,1,1,2,5,2,1,2,3
6,1,3,2,4,2,4,3,-1
7,1,1,3,4,1,4,1,4
8,1,1,1,3,1,2,2,1
9,1,1,3,3,2,1,1,3
10,1,-1,1,4,2,1,2,-1
11,1,2,3,-1,2,-1,1,-1
12,1,1,1,2,1,1,1,1
13,1,1,1,4,3,1,1,1
14,1,3,1,-1,1,-1,1,-1
15,1,1,1,-1,2,-1,1,-1
16,1,2,3,3,4,1,1,3
17,1,1,1,-1,1,-1,2,-1
18,1,1,1,4,1,1,1,3
19,1,1,1,1,1,2,1,1
20,1,1,2,2,3,1,1,-1
21,1,1,1,3,3,1,1,3
22,1,2,1,2,3,1,3,3
23,1,1,2,3,1,3,3,-1
24,1,1,2,3,2,2,2,-1
25,1,1,1,3,1,1,1,1
26,1,1,1,-1,1,-1,2,-1
27,1,1,2,4,3,1,1,1
28,1,2,2,-1,1,-1,1,-1
29,1,1,1,4,3,2,2,-1
30,1,1,1,1,1,1,1,1
31,1,1,1,-1,1,-1,2,-1
32,1,2,1,-1,1,-1,3,-1
33,1,2,1,4,1,3,2,2
34,1,-1,3,2,2,1,1,1
35,1,1,1,1,2,3,4,-1
36,1,1,1,-1,1,-1,1,-1
37,1,1,1,4,1,1,3,1
38,1,2,1,3,3,2,3,3
39,1,1,1,2,1,1,1,1
40,1,1,2,3,3,2,1,4
41,1,1,1,5,1,3,-1,-1
42,1,1,2,-1,2,-1,2,-1
43,1,1,3,3,3,1,1,3
44,1,1,3,3,4,1,1,4
45,1,1,2,3,3,1,1,1
46,1,1,1,3,1,3,1,1
47,1,1,2,3,3,2,1,-1
48,1,1,3,5,1,3,1,-1
49,1,1,3,-1,3,-1,1,-1
50,1,1,1,1,2,3,3,2
51,1,1,1,4,1,3,1,-1
52,1,1,2,-1,2,-1,1,-1
53,1,1,1,4,2,1,2,2
54,1,1,1,1,1,1,1,1
55,1,-1,2,3,1,3,2,2
56,1,1,5,5,5,5,5,5
57,1,1,2,3,1,2,1,-1
58,1,1,1,1,1,1,2,1
59,1,1,2,3,4,4,4,3
60,1,1,1,3,2,1,1,1
61,1,1,1,-1,1,-1,1,-1
62,1,1,1,-1,1,1,1,2
63,1,1,1,-1,4,-1,2,-1
64,1,1,2,-1,3,-1,1,-1
65,1,1,2,3,3,2,1,-1
66,1,2,2,5,2,1,1,-1
67,1,1,1,3,1,2,1,1
68,1,1,1,-1,1,-1,2,-1
69,1,1,3,5,2,1,2,1
70,1,1,1,1,1,3,1,1
71,1,3,3,3,3,2,1,-1
72,1,1,1,1,2,1,1,3
73,1,1,2,-1,2,-1,1,-1
74,1,1,3,2,2,1,1,-1
75,1,1,1,2,1,2,1,2
76,1,1,4,-1,5,-1,4,-1
77,1,1,1,-1,2,-1,1,-1
78,1,1,1,2,1,1,4,1
79,1,1,1,4,4,1,2,4
80,1,1,1,1,3,2,2,3
81,1,1,1,2,1,2,3,1
82,1,1,2,4,3,1,1,3
83,1,1,4,4,5,2,1,5
84,1,2,2,-1,2,-1,1,-1
85,1,1,1,1,1,2,2,2
86,1,1,2,1,2,-1,1,-1
87,1,1,3,3,2,1,2,2
88,1,2,1,-1,1,-1,2,-1
89,1,2,2,5,4,3,1,1
90,1,2,2,-1,1,-1,1,-1
91,1,1,1,-1,1,-1,1,-1
92,1,1,1,2,1,3,1,1
93,1,1,3,-1,5,-1,1,-1
94,1,1,2,3,2,3,1,3
95,1,1,1,4,3,1,1,-1
96,1,1,2,3,3,1,1,-1
97,1,1,1,2,2,1,1,1
98,1,1,2,-1,2,-1,1,-1
99,1,1,1,5,1,1,1,-1
100,1,2,2,4,2,1,2,-1
101,1,1,1,5,2,2,1,1
102,1,1,2,-1,2,-1,2,-1
103,1,1,1,1,1,1,1,-1
104,1,5,5,1,5,1,4,4
105,1,1,2,2,2,2,1,-1
106,1,1,1,5,1,4,1,-1
107,1,3,1,3,2,4,4,-1
108,1,1,1,4,1,3,3,2
109,1,1,3,2,2,1,2,3
110,1,1,1,-1,1,-1,2,-1
111,1,2,2,-1,2,-1,1,-1
112,1,1,1,-1,1,-1,1,-1
113,1,1,1,5,1,1,1,-1
114,1,1,1,2,1,1,1,1
115,1,1,1,1,1,1,1,1
116,1,3,1,-1,1,-1,2,-1
117,1,1,1,1,1,1,1,1
118,1,1,2,-1,2,-1,1,-1
119,1,1,1,2,1,2,2,4
120,1,1,1,2,4,1,1,1
121,1,1,1,1,1,3,3,-1
122,1,1,1,4,1,2,1,1
123,1,1,2,1,2,2,1,3
124,1,1,1,5,2,2,3,1
125,1,1,1,-1,3,-1,3,-1
126,1,1,1,3,1,1,1,1
127,1,1,1,-1,2,1,1,-1
128,1,1,1,-1,1,-1,1,-1
129,1,1,1,3,1,2,1,1
130,1,1,1,3,1,2,1,1
131,1,1,1,1,3,2,1,-1
132,1,1,1,3,2,1,2,2
133,1,1,1,4,3,4,3,3
134,1,1,1,2,2,1,1,1
135,1,1,1,3,1,3,1,-1
136,1,1,1,1,1,2,1,1
137,1,1,2,-1,2,-1,2,-1
138,1,1,1,-1,2,-1,1,-1
139,1,1,3,4,3,1,1,1
140,1,1,1,2,2,2,1,2
141,1,1,1,3,1,1,1,1
142,1,1,2,4,2,1,1,2
143,1,1,3,4,2,2,2,3
144,1,2,4,3,5,1,4,2
145,1,1,3,5,3,1,1,2
146,1,1,1,2,1,2,1,3
147,1,1,1,-1,1,-1,1,-1
148,1,1,-1,1,-1,1,1,-1
149,1,1,2,-1,1,-1,1,-1
150,1,2,2,-1,2,-1,1,-1
151,1,3,1,4,2,1,1,-1
152,1,1,1,5,1,3,2,-1
153,1,1,2,4,4,2,3,1
154,1,1,1,3,2,2,1,-1
155,1,3,1,-1,3,2,2,-1
156,1,1,1,4,2,1,2,3
157,1,1,2,1,3,2,1,3
158,1,1,4,2,4,2,3,-1
159,1,2,3,3,3,3,3,1
160,1,3,1,-1,2,-1,3,-1
161,1,1,2,-1,2,-1,1,-1
162,1,1,1,-1,2,-1,2,-1
163,1,1,1,3,1,1,1,4
164,1,1,-1,2,-1,2,4,-1
165,1,2,2,5,5,1,1,1
166,1,3,3,1,3,2,3,1
167,1,1,2,-1,1,-1,3,-1
168,1,2,3,5,3,1,1,1
169,1,1,1,-1,1,-1,1,-1
170,1,2,1,-1,2,-1,2,-1
171,1,1,3,3,2,2,3,-1
172,1,1,2,-1,2,-1,2,-1
173,1,1,2,3,2,1,1,3
174,1,1,1,1,1,1,1,3
175,1,1,1,3,3,1,3,3
176,1,1,1,1,1,1,1,5
177,1,1,1,3,-1,1,-1,-1
178,1,1,1,1,4,1,1,5
179,1,2,1,3,2,2,3,-1
180,1,1,1,1,1,3,4,1
181,1,1,2,4,3,1,1,-1
182,1,1,1,4,1,3,1,2
183,1,1,2,1,4,1,1,1
184,1,1,1,2,1,1,1,-1
185,1,1,2,2,1,2,1,2
186,1,-1,3,5,-1,3,3,-1
187,1,2,1,4,2,1,4,2
188,1,2,2,-1,2,-1,2,-1
189,1,1,1,-1,1,-1,-1,1
190,1,1,2,-1,1,-1,2,-1
191,1,1,1,4,1,1,1,1
192,1,2,2,2,3,-1,1,-1
193,1,1,1,2,1,2,1,5
194,1,1,3,-1,3,-1,1,-1
195,1,2,2,4,2,3,1,1
196,1,1,4,-1,3,-1,1,-1
197,1,1,1,3,1,1,1,-1
